,text
56,"Simultaneously modulating the optical and electrical properties of the hole transporting layer (HTL) plays a vital role in the performance of p-i-n perovskite solar cells (PSCs). Here, a negligible hysteresis inverted planar PSC with 17.30% power conversion efficiency was successfully fabricated by employing a thin and non-stoichiometric dopant-free nickel oxide (DF-NiOx) film as the HTL. The DF-NiOx film was formed by a radio frequency magnetron sputtering method. The Ni3+ content as well as the crystallization of the DF-NiOx thin films were tuned by regulating the post-annealing treatment, leading to enhanced optical transmittance and electrical conductivity. The optimized DF-NiOx films exhibit a high transmittance of more than 90%, appropriate conductivity, uniform surface morphology, and a better energy level match with the perovskite layer. This study not only highlights the importance of optimizing the Ni3+ content and crystallization for the formation of high-performance DF-NiOx HTLs, but also provides an excellent device platform for making large area high-performance PSCs and tandem solar cells."
57,"Nano-structured CuO-Cu2O complex thin film-based perovskite solar cells were fabricated on an indium tin oxide (ITO)-coated glass and studied. Copper (Cu) thin films with a purity of 99.995 % were deposited on an ITO-coated glass by magnetron reactive sputtering. To optimize the properties of the nano-structured CuO-Cu2O complex thin films, the deposited Cu thin films were thermally oxidized at various temperatures from 300 to 400 °C. A CH3NH3PbI3 perovskite absorber was fabricated on top of CuO-Cu2O complex thin film by a one-step spin-coating process with a toluene washing treatment. Following optimization, the maximum power conversion efficiency (PCE) exceeded 8.1 %. Therefore, the low-cost, solution-processed, stable nano-structured CuO-Cu2O complex thin film can be used as an alternative hole transport layer (HTL) in industrially produced perovskite solar cells."
58,"As promising highly-efficient and low-cost photovoltaic devices, perovskite solar cells must be made of compact and pin-hole free perovskite films. One-step solution engineering is a most efficient and low-cost precipitation of high quality perovskite films. However, the difficulty in controlling the precipitation and pin-hole formation in perovskite films makes this one-step solution engineering a great challenge. Here, we report, for the first time, a fast and high performance perovskite film precipitation by tuning the boundary layer during the solution processing of the perovskite film. Theoretical analyses and simulations were carried out alongside the experiments, and the results consistently showed that a high velocity and low temperature of the air flow could effectively reduce the thickness of the boundary layer. Subsequently, evaporated solvent molecules would diffuse through the boundary layer more easily, and then solvent evaporation becomes quicker, resulting in a high quality and pin-hole free perovskite film. As a result, the highest efficiency of 17.87% was achieved for planar perovskite solar cells (with an active area of 0.1 cm2) with the perovskite film precipitated under these air conditions. Furthermore, the efficiency reached as high as 12.72% with a 1.08 V open-circuit voltage for a 1 cm2 planar perovskite device. This essentially opens the door to developing high quality perovskite film precipitation approaches by tuning the boundary layer during facile one-step solution engineering."
59,"The environmental friendly tin-based perovskite is attracting a lot of attention as a lead-free alternative in photovoltaic field. However, the uncontrollable quick crystallization of tin-based perovskite in traditional solution methods makes it challenging to form smooth and pin-hole free films, resulting in severe surface recombination and current leakage problem. Evaporation method, known as an effective way to produce smooth films with high coverage, has been rarely investigated in tin-based perovskites. Here, we demonstrate an evaporation-assisted solution (EAS) method in CsSnI3 system, combining thermal evaporation with solution method, to produce rather uniform, dense and pinhole free CsSnI3 films. Solar cells fabricated by our EAS method show an average power conversion efficiency (PCE) of 1.93% and a best PCE of 2.23%."
60,"Chemical doping of organic semiconductors has been recognized as an effective way to enhance the electrical conductivity. In perovskite solar cells (PSCs), various types of dopants have been developed for organic hole transport materials (HTMs); however, the knowledge of the basic requirements for being efficient dopants as well as the comprehensive roles of the dopants in PSCs has not been clearly revealed. Here, three copper-based complexes with controlled redox activities are applied as dopants in PSCs, and it is found that the oxidative reactivity of dopants presents substantial impacts on conductivity, charge dynamics, and solar cell performance. A significant improvement of open-circuit voltage (Voc) by more than 100 mV and an increase of power conversion efficiency from 13.2 to 19.3% have been achieved by tuning the doping level of the HTM. The observed large variation of Voc for three dopants reveals their different recombination kinetics at the perovskite/HTM interfaces and suggests a model of an interfacial recombination mechanism. We also suggest that the dopants in HTMs can also affect the charge recombination kinetics as well as the solar cell performance. Based on these findings, a strategy is proposed to physically passivate the electron–hole recombination by inserting an ultrathin Al2O3 insulating layer between the perovskite and the HTM. This strategy contributes a significant enhancement of the power conversion efficiency and environmental stability, indicating that dopant engineering is one crucial way to further improve the performance of PSCs."
61,"Over the past several years, organic–inorganic hybrid perovskite solar cells have developed rapidly. One of the hot topics with perovskite solar cells is how to achieve a high quality perovskite thin film. A Lewis acid–base adduct is effective for controlling perovskite morphology during the film preparation process. Zinc ion (Zn2+) is a stronger Lewis acid than lead ion (Pb2+) and it has a high ability to coordinate with methylamine groups (CH3NH3+), so it is doped into perovskite precursors to substitute for Pb2+ to influence crystallization during the annealing process. In this work, by adjusting zinc ions concentration, high quality perovskite films with larger grain sizes and fewer pinholes were obtained. Finally, the average power conversion efficiency (PCE) of solar cells based on optimal concentration reached to 16.3% (with an open circuit voltage of 1.06 V, short circuit current density of 21.98 mA cm−2, and fill factor of 70%), resulting in a 34.7% improvement compared to a pristine one. Our work highlights the metal-ion additive as an effective method to control perovskite film quality."
62,"Indium oxide (In2O3) as a promising n-type semiconductor material has been widely employed in optoelectronic applications. In this work, we applied low-temperature solution-processed In2O3 nanocrystalline film as an electron selective layer (ESL) in perovskite solar cells (PSCs) for the first time. By taking advantages of good optical and electrical properties of In2O3 such as high mobility, wide band gap, and high transmittance, we obtained In2O3-based PSCs with a good efficiency exceeding 13% after optimizing the concentration of the precursor solution and the annealing temperature. Furthermore, to enhance the performance of the In2O3-based PSCs, a phenyl-C61-butyric acid methyl ester (PCBM) layer was introduced to modify the surface of the In2O3 film. The PCBM film could fill up the pinholes or cracks along In2O3 grain boundaries to passivate the defects and make the ESL extremely compact and uniform, which is conducive to suppressing the charge recombination. As a result, the efficiency of the In2O3-based PSC was improved to 14.83% accompanied with VOC, JSC, and FF being 1.08 V, 20.06 mA cm–2, and 0.685, respectively."
63,"Hybrid organic–inorganic perovskite solar cells (PSCs) have been attracting great attention. A conjugated organic molecule, bathocuproine (BCP), is often deposited on C60 for electron collection in inverted PSCs. But organic molecules are not stable against UV light and cannot act as good barrier layers to protect the perovskite layer. In principle, inorganic materials can have better stability, but the thermal deposition of inorganic materials usually requires very high temperature. In this work, zinc selenide (ZnSe), a two-dimensional (2D) II–VI semiconductor material with a wide bandgap and high electron mobility, is investigated for electron collection in PSCs without BCP. The ZnSe layer is deposited by using a normal thermal evaporator. The PSCs with ZnSe can exhibit a power conversion efficiency (PCE) of 18.38%, comparable to that with BCP. In addition, the former has better stability than the latter. We also demonstrate PSCs with inorganic materials for both hole and electron collection."
64,"In this communication, glycine, an amino acid, was applied to modify the TiO2/CH3NH3PbI3 heterojunction interface for reducing the inevitable defects formed during crystallization of perovskite. The power conversion efficiency of the resulting perovskite solar cell was increased from 8.35 to 12.02%, attributed to the enhancement of the short-circuit current density."
65,"Solution-processable organic-inorganic hybrid perovskite materials have emerged as a very promising candidate for next-generation photovoltaic technology due to their superior semiconducting properties. Although the performance of perovskite solar cells (PVSCs) has already been demonstrated to rival those of the prevailing inorganic counterparts, the device's long-term stability under thermal, photo-, and moisture stresses has been raised as one major challenge before the commercialization of this technology. Here, we have designed and synthesized a crosslinkable n-type conjugated molecule, c-HATNA, to serve as the electron-transporting layer on top of the perovskite to improve photo-, moisture, and thermal stability of the fabricated PVSCs. This work has validated the method of incorporating facile crosslinkable charge transport layers to improve efficiency and ambient and thermal stability of resultant solar cells to benefit large-scale device fabrication."
66,"Thermally stimulated current (TSC) measurements are used to characterize electronic trap states in methylammonium lead iodide perovsite solar cells. Several TSC peaks were observed over the temperature range from 20 K to room temperature. To elucidate the origins of these peaks, devices with various organic charge transport layers and devices without transport layers were tested. Two peaks appear at very low temperatures, indicating shallow trap states that are mainly attributed to the PCBM/C60 electron transport bilayer. However, two additional peaks appear at higher temperatures, that is, they are deeper in energy, and are assigned to the perovskite layer. At around T = 163 K, a sharp peak, also present in the dark TSC measurements, is assigned to the orthorhombic–tetragonal phase transition in the perovskite. However, a peak at around T = 191 K is assigned to trap states with activation energies of around 500 meV but with a rather low concentration of 1 × 1021 m–3."
67,"The ability to process amorphous or polycrystalline solar cells at low temperature (<150 °C) opens many possibilities for substrate choice and monolithic multijunction solar cell fabrication. Organometal trihalide perovskite solar cells have evolved rapidly over the last two years, and the CH3NH3PbX3 (X = Cl, I or Br) material is processed at low temperature. However the first embodiments of the solar cell were composed of high temperature processed (500 °C) compact and mesoporous layers of TiO2. The sintering of the mesoporous TiO2 has been negated by replacing this with a mesoporous insulating scaffold in the meso-superstructured solar cell (MSSC), yet the high temperature processed compact TiO2 layer still persists in the most efficient devices. Here we have realised a low temperature route for compact TiO2, tailored for perovskite MSSC operation. With our optimized formulation we demonstrate full sun solar power conversion efficiencies of up to 15.9% in an all low temperature processed solar cell."
68,"Standard layer-by-layer solution processing methods constrain lead–halide perovskite device architectures. The layer below the perovskite must be robust to the strong organic solvents used to form the perovskite while the layer above has a limited thermal budget and must be processed in nonpolar solvents to prevent perovskite degradation. To circumvent these limitations, we developed a procedure where two transparent conductive oxide/transport material/perovskite half stacks are independently fabricated and then laminated together at the perovskite/perovskite interface. Using ultraviolet–visible absorption spectroscopy, external quantum efficiency, X-ray diffraction, and time-resolved photoluminesence spectroscopy, we show that this procedure improves photovoltaic properties of the perovskite layer. Applying this procedure, semitransparent devices employing two high-temperature oxide transport layers were fabricated, which realized an average efficiency of 9.6% (maximum: 10.6%) despite series resistance limitations from the substrate design. Overall, the developed lamination procedure curtails processing constraints, enables new device designs, and affords new opportunities for optimization."
69,"High efficiency and stable hole transporting material-free (HTM-free) planar heterojunction (PHJ) perovskite solar cells are constructed by directly thermal evaporating perovskite materials onto indium tin oxide substrate. A condense and homogeneous morphology is found for this perovskite film even without any annealing process. The optimized HTM-free CH3NH3PbI3−XClX/C60 PHJ device with a 35 nm ultra-thin CH3NH3PbI3−XClX layer presents a high hole extraction efficiency and a low charge carrier recombination probability, which results in a high short circuit current and fill factor. The HTM-free device shows a high power conversion efficiency of 8.37%, which is one of the highest efficiency among reported inverted HTM-free perovskite solar cells even that a thinner perovskite film is used. More importantly, the device also exhibits a superior stability in ambient conditions."
70,"A new approach to improve the quality of MAPbI3 − x Cl x perovskite film was demonstrated. It involves annealing the precursor film after pumping away the solvent, which can decrease the influence of solvent evaporation rate for the growth of the MAPbI3 − x Cl x perovskite film. The resulting film showed improved morphology, stronger absorption, fewer crystal defects, and smaller charge transfer resistance. The corresponding device demonstrated enhanced performance when compared with a reference device. The averaged value of power conversion efficiency increased from 10.61 to 12.56 %, and a champion efficiency of 14.0 % was achieved. This work paves a new way to improve the efficiency of perovskite solar cells."
71,"One-step solution process is a facile and widely used procedure to prepare organic–inorganic perovskite materials. However, the poor surface morphology of the films attributed to the uncontrollable nucleation and crystal growth in the process is unfavorable to solar cells. In this study, an anti-solvent treatment during the one-step solution process, in which ethyl acetate (EA) was dropped on the sample during spinning the precursor solution containing CH3NH3Cl, was adopted to fabricate perovskite materials and solar cells. It was found that the morphology of the perovskite film was significantly improved due to the rapid nucleation and slow crystal growth process. The modified process enabled us to fabricate the mesoporous solar cell with power conversion efficiency of 14%, showing an improvement of 40% over the efficiency of 9.7% of the device prepared by conventional one-step method. The controlling effect of annealing time on the morphology, crystal structure and transport properties of perovskite layer as well as the performance of device fabricated by the anti-solvent method were investigated and the possible mechanism was discussed."
72,"Here we investigate temperature-dependent charge transport in solution-processed methylammonium lead triiodide (MAPbI3) perovskite thin films with steady-state mobility measurements. Based on control of the thickness (L) of the MAPbI3 films, one attains tunability in the carrier mobility, trap density and recombination that lead to alterations in the device characteristics. We find that the increased hole mobility in MAPbI3 with incremental variations in L is associated with reduction in the trap concentration and Shockley–Read–Hall (SRH) recombination. By interrogating the ideality factor, we identify that the SRH charge recombination is present in the optimal solar cell. Of interest, the impact of traps on recombination becomes weakened and eventually is overwhelmed by bimolecular recombination with increasing L. Photoluminescence decay kinetics reveal that the PL related to surface and bulk recombination is longer-lived at larger L, in line with the results based on electrical analysis. The meliorated transport properties with reduced charge trapping in MAPbI3 films can correlate to the slightly enhanced crystallinity and homogeneity in the grain size distribution in thicker films. The combinatorial study shows that the transport properties alongside traps in MAPbI3 films are tunable simply by the physical parameter of L. Meanwhile, our work points to the necessity to further reduce the trap density so as to boost the photovoltaic performance using perovskite thin films."
73,"Inverted perovskite solar cells have attracted a great deal of attention due to its high power conversion efficiency, simple configuration, and low-cost processing. The hole transport material (HTM) is a crucial factor in high performance inverted perovskite solar cell. However, the hole mobility for most common of HTM is too low to matching perovskite materials. Herein, we report a superior HTM with high hole mobility to significantly improve solar cell efficiency. Upon doing the commonly used PEDOT:PSS HTM by graphene oxide (GO), its hole mobility is increased from 5.55 × 10−5 to 1.57 × 10−4 cm2 V−1 s−1, leading to efficient hole extraction and low current leakage, therefore 20% higher power conversion efficiency comparing to the control device without the GO doping. The development open the opportunities for efficient HTMs based on the two-dimensional materials in the perovskite solar cells."
74,"In this work, four tetraphenylethylene (TPE)-centered hole transport materials (HTMs), with 2,7- or 3,6-substituted carbazole derivatives as periphery groups are deliberately synthesized and characterized. Their photophysical properties, energy levels, and photovoltaic performances are systematically investigated, and their performances as HTMs are discussed with respect to the different substituent positions on the carbazole moiety. It is interesting to find that the TPE-based HTMs with 2,7-carbazole substituents rival the 3,6-carbazole substituents in hole mobility and hole extraction ability. A high power conversion efficiency of up to 16.74 % is achieved for the devices based on the 2,7-carbazole periphery arms, which is even higher than the one of the “star” HTM Spiro-OMeTAD (2,2-7,7-tetrakis(N,N′-diparamethoxy-phenylamine 9,9′-spirobifluorene) under the same conditions. As far as we know, this is the highest efficiency achieved in tetraphenylethylene derivatives."
75,"Inspired by the rapid rise in efficiencies of lead halide perovskite (LHP) solar cells, lead-free alternatives are attracting increasing attention. In this work, we study the photovoltaic potential of solution-processed antimony (Sb)-based compounds with the formula A3Sb2I9 (A = Cs, Rb, and K). We experimentally determine bandgap magnitude and type, structure, carrier lifetime, exciton binding energy, film morphology, and photovoltaic device performance. We use density functional theory to compute the equilibrium structures, band structures, carrier effective masses, and phase stability diagrams. We find the A-site cation governs the structural and optoelectronic properties of these compounds. Cs3Sb2I9 has a 0D structure, the largest exciton binding energy (175 ± 9 meV), an indirect bandgap, and, in a solar cell, low photocurrent (0.13 mA cm–2). Rb3Sb2I9 has a 2D structure, a direct bandgap, and, among the materials investigated, the lowest exciton binding energy (101 ± 6 meV) and highest photocurrent (1.67 mA cm–2). K3Sb2I9 has a 2D structure, intermediate exciton binding energies (129 ± 9 meV), and intermediate photocurrents (0.41 mA cm–2). Despite remarkably long lifetimes in all compounds (54, 9, and 30 ns for Cs-, Rb-, and K-based materials, respectively), low photocurrents limit performance of all devices. We conclude that carrier collection is limited by large exciton binding energies (experimentally observed) and large carrier effective masses (calculated from density functional theory). The highest photocurrent and efficiency (0.76%) were observed in the Rb-based compound with a direct bandgap, relatively lower exciton binding energy, and lower calculated electron effective mass. To reliably screen for candidate lead-free photovoltaic absorbers, we advise that faster and more accurate computational tools are needed to calculate exciton binding energies and effective masses."
76,This study successfully demonstrates the application of inorganic p-type nickel oxide (NiOx ) as electrode interlayer for the fabrication of NiOx /CH3 NH3 PbI3 perovskite/PCBM PHJ hybrid solar cells with a respectable solar-to-electrical PCE of 7.8%. The better energy level alignment and improved wetting of the NiOx electrode interlayer significantly enhance the overall photovoltaic performance. 
77,"Methylammonium lead trihalide perovskite (MAPbX3, where MA is methylammonium, and X is a halide)-based solar cells have been intensively investigated recently,1 with the demonstrated certified solar power conversion efficiency (PCE) exceeding 20%.2 To further boost the PCE to beyond the Schockley–Queisser limit,3 tandem structured solar cells have been investigated based on integrating MAPbX3 and low bandgap solar cells.4-8 However, the efficiency of the two-terminal integrated perovskite-silicon tandem cells is still low. The best reported efficiency of 13.7% for this type of tandem cells is far smaller than the individual cells yet, partially due to the limited performance of the mixed-halide perovskite MAPbBrxI3–x solar cell employed in this structure.5 The mixed-halide perovskite MAPbBrxI3–x is still one of the most promising candidates as the wide-bandgap light absorber for the tandem application to match the bandgap of silicon, considering its continuously tunable bandgap from 1.6 eV to 2.3 eV with different bromide incorporation ratio.7, 9, 10 However, the application of MAPbBrxI3–x based solar cells has been reported to confront with one big challenge of intrinsic light instability.11 The MAPbBrxI3–x materials on mesoporous scaffold were shown to be unstable under illumination with a photo-excited phase-separation into two phases, one iodine-rich phase and one iodine-poor phase.11, 12 The lower bandgap phase thus acts as the charge traps, which was hypothesized to be responsible to the severely reduced device open circuit voltage and device PCE for the mixed-halide perovskite devices"
78,"The short-circuit current density of inverted perovskite solar cells is unsatisfactory due to the intrinsic relatively low electron mobility and electrical conductivity of PC61BM. To solve this problem, a solution-processed mixed-fullerene derivative electron transporting material by mixing PC61BM with C60 was developed to improve charge extraction capacity in fully low temperature processed devices. Incorporation of C60 into the PC61BM layer improves the mobility from 2.15×10−3 to 4.71×10−3 cm2⋅V−1⋅s−1 and the conductivity of electron transporting layers, thus enhancing the interfacial electron extraction capacity and reducing the electron transfer resistance. As a result, the average power conversion efficiency increases from 12.80% to 15.47% by 21% due to the significant increases in the average short-circuit current density from 19.26 to 22.08 mA⋅cm−2 by 15%. Meanwhile, the optimal efficiency of 16.44% with rigid substrates and 12.93% with flexible substrates are obtained with almost no hysteresis. This work provides a novel and simple method to greatly improve the short-circuit current density and hence the photovoltaic performance of inverted perovskite solar cells."
79,"We demonstrate a novel one-step solution approach to prepare perovskite CH3NH3PbI3 films by adding CH3NH3Cl (or MACl) to the standard CH3NH3PbI3 precursor (equimolar mixture of CH3NH3I and PbI2) solution. The use of MACl strongly affects the crystallization process of forming pure CH3NH3PbI3, leading not only to enhanced absorption of CH3NH3PbI3 but also to significantly improved coverage of CH3NH3PbI3 on a planar substrate. Compared to the standard one-step solution approach for CH3NH3PbI3, using MACl improves the performance of CH3NH3PbI3 solar cells from about 2% to 12% for the planar cell structure and from about 8% to 10% for the mesostructured device architecture. Although we find no significant effect of using MACl on charge transport and recombination in mesostructured perovskite cells, the recombination resistance for planar cells increases by 1–2 orders of magnitude by using MACl. These results suggest that this new one-step solution approach is promising for controlling CH3NH3PbI3 growth to achieve high-performance perovskite solar cells."
80,"Biaxially-extended octithiophene-based conjugated polymers are demonstrated as effective polymeric hole-transporting layers (HTLs) to simultaneously enhance the efficiency and UV-photostability of perovskite solar cells (PVSCs). The intense UV absorption contributed from the conjugated side-chain groups of such polymers facilitated its function of UV filtering when serving as the bottom HTL in PVSCs. Through rationally tailoring polymer backbone structure, a highly efficient (PCE: 18.34%) PVSC with much improved UV-photostability and ambient stability was successfully achieved."
81,"Metal phthalocyanines (MPcs) as an important class of organic semiconductors or hole transport materials (HTMs) have been extensively used in organic solar cells. Nevertheless, most of them are highly insoluble and need to be processed through a strict high-vacuum deposition process. Herein, a solution-processable tert-butyl substituted zinc phthalocyanine (hereafter referred to as ZnPc(tBu)4) with relatively high hole mobility and favorable HOMO and LUMO levels has been synthesized and employed as dopant-free HTM layer in methylammonium lead iodide (MAPbI3) perovskite solar cells (PSCs), and the corresponding ZnPc(tBu)4-based PSCs after optimizing the ZnPc(tBu)4 concentration achieved a power conversion efficiency (PCE) of 5.16% and 7.98% measured under forward and reverse voltage scanning, respectively. The unsatisfactory photovoltaic performance of ZnPc(tBu)4-based PSCs compared to the classical spiro-OMeTAD-based ones can be mainly due to the very low fill factor and severe hysteresis, which would be eliminated by further optimizing the device fabrication procedure and the interfacial contacts between the mesoporous TiO2 film and MAPbI3 overlayer, and thus the present solution-processable and dopant-free ZnPc(tBu)4 would be a potential substitute for the expensive HTMs containing multifold additives used in the current PSCs."
82,"To enhance the light harvesting capability of perovskite solar cells (PSCs), TiO2 nanoparticles/nanotubes (TNNs) were incorporated into the active layer of PSCs. The TNN-containing cells showed a substantial increase in photocurrent density (JSC), from 23.9 mA/cm2 without nanotubes to 25.5 mA/cm2, suggesting that the TiO2 nanotubes enhanced the charge conduction and harvested more sunlight, which was attributed to the Mie scattering effect. Compared to the power conversion efficiency (PCE) of TiO2 nanoparticles in the active layer (14.16%), the TNN-containing cells with optimal loading of 9 wt % TiO2 nanotubes showed a high PCE of 15.34%. "
83,"We demonstrate efficiency enhancement in perovskite solar cells (PSCs) utilizing a free-dopant hole transporting material (HTM), non-peripherally substituted octapentyl phthalocyanine (C5PcH2) with thermal annealing. Particularly, by using thermal annealing approach, the external quantum efficiency at around 480 nm increase from 78 to 84%. Hence, the fill factor and short-circuit current density are markedly improved from 0.35 ± 0.02 to 0.55 ± 0.05 and from 18 ± 1 to 18.8 ± 0.3 mA cm-2, respectively. Finally, the best device is achieved with power conversion efficiencies of 12.2% by annealing at 130 °C for 10 min. The photoluminescence and photo-induced charge carrier extraction in linearly increasing voltages measurements indicate that the charge carrier mobility in C5PcH2 increases, and thereby the hole extraction and transportation from the perovskite layer to the Au anode as well the photovoltaic performance of PCS is improved by using thermal annealing processing"
84,"The major restraint for the commercialization of the high-performance hybrid metal halide perovskite solar cells is the long-term stability, especially at the infirm interface between the perovskite film and organic charge-transfer layer. Recently, engineering the interface between the perovskite and spiro-OMeTAD becomes an effective strategy to simultaneously improve the efficiency and stability in the perovskite solar cells. In this work, we demonstrated that introducing an interfacial polystyrene layer between the perovskite film and spiro-OMeTAD layer can effectively improve the perovskite solar cells photovoltaic performance. The inserted polystyrene layer can passivate the interface traps and defects effectively and decrease the nonradiative recombination, leading to enhanced photoluminescence intensity and carrier lifetime, without compromising the carrier extraction and transfer. Under the optimized condition, the perovskite solar cells with the polystyrene layer achieve an enhanced average power efficiency of about 19.61% (20.46% of the best efficiency) from about 17.63% with negligible current density–voltage hysteresis. Moreover, the optimized perovskite solar cells with the hydrophobic polystyrene layer can maintain about 85% initial efficiency after 2 months storage in open air conditions without encapsulation."
85,"To reduce intrinsic defect density in perovskite films, various additives are often added into the precursor solution. In this paper, a novel solution, in which isopropanol (IPA) was added into the precursor solution, was developed for the preparation of normal planar perovskite solar cells (PSCs). A champion power conversion efficiency (PCE) of 19.70 % was achieved with this approach. By adding IPA into the precursor solution, CH3NH3PbI3 perovskite showed better crystallization and stability, indicating improved film quality. Because of the improved morphology of perovskite crystal, the PCE of PSCs increased. In addition, the unencapsulated PSCs retained high output for up to 40 days in air at room temperature, indicating the stability of PSCs. These results may provide a new avenue for manufacturing high efficiency and high stability PSCs."
86,"Novel symmetric oligomer hole transporting materials (HTMs) incorporating 3,4-ethylenedioxythiophene (EDOT) and 2,1,3-benzothiadiazole (BTD) cores have been synthesized and tested for high performance perovskite solar cells. A maximum energy conversion efficiency of 14.23% has been achieved by employing DPEDOT-B[BMPDP]2 with the electron donating EDOT unit as the core, which is comparable to that of the traditional spiro-OMeTAD (14.55%)."
87,"A two-step method is widely used to fabricate highly efficient perovskite solar cells. In a typical two-step method, CH3NH3PbI3 perovskites are fabricated from PbI2 films through an intercalation reaction between PbI2 and CH3NH3I, which usually have a rough surface and residual PbI2 due to a compact PbI2 structure. Here, we introduce some strong Lewis bases into PbI2/DMF solutions in the first step, which is helpful in controlling the morphology of PbI2 films with a mesoporous structure. The mesopores in the PbI2 films provide not only space for accommodating the volume expansion during the reaction between PbI2 and CH3NH3I, but also channels for CH3NH3I solution to diffuse into the PbI2 films, which helps eliminate the residual PbI2 and the dissolution and recrystallization process. As a result, smooth perovskite films without residual PbI2 are easily obtained. The power conversion efficiency, stability and reproducibility of the perovskite solar cells fabricated from the optimized mesoporous PbI2 films improved simultaneously due to the improvement in perovskite films. This work reveals the key roles of solvents (boiling point, Lewis basicity) in controlling the microstructure of the PbI2 films."
88,"This work presents an inverted planar NH2CH = NH2PbI3 (FAPbI3) perovskite solar cell. FAPbI3 perovskite and phenyl-C61-butyric acid methyl ester (PC61BM) are deposited on the PEDOT:PSS/fluorine-doped tin oxide (FTO) glass substrate by the single-step method. The perovskite films have been characterized by atomic force microscopy (AFM), field emission scanning electron microscope (FE-SEM), ultraviolet-visible spectroscopy (UV-vis), X-ray diffraction (XRD). The FAPbI3 solar cell with short-circuit current density (Jsc ) = 14.48 mA/cm2, open-circuit voltage (Voc ) = 0.88 V, fill factor (FF) = 68%, and power conversion efficiency (PCE) = 8.62%, respectively. "
89,"All-inorganic perovskite solar cells provide a promising solution to tackle the thermal instability problem of organic–inorganic perovskite solar cells (PSCs). Herein, we designed an all-inorganic perovskite solar cell with novel structure (FTO/NiOx/CsPbI2Br/ZnO@C60/Ag), in which ZnO@C60 bilayer was utilized as the electron-transporting layers that demonstrated high carrier extraction efficiency and low leakage loss. Consequently, the as-fabricated all-inorganic CsPbI2Br perovskite solar cell yielded a power conversion efficiency (PCE) as high as 13.3% with a Voc of 1.14 V, Jsc of 15.2 mA·cm–2, and FF of 0.77. The corresponding stabilized power output (SPO) of the device was demonstrated to be ∼12% and remarkably stable within 1000 s. Importantly, the obtained all-inorganic PSCs without encapsulation exhibited only 20% PCE loss with thermal treatment at 85 °C for 360 h, which largely outperformed the organic-species-containing PSCs. The present study demonstrates potential in overcoming the intractable issue concerning the thermal instability of perovskite solar cells."
90,"Sn-based perovskite solar cells (PSCs) featuring high performance and long-term stability are very challenging because Sn2+ is relatively prone to oxidation. Here, we have performed coadditive engineering with 5-ammonium valeric acid iodide (5-AVAI) for FASnI3-based perovskite films. From the morphological, structural, and elemental analyses, we observed that 5-AVAI affects the crystal growth of perovskites through its hydrogen bond with I– of the SnI64– octahedral. As a result, pinhole-free homogeneous and stable Sn-based perovskite films form over a large area with lower Sn4+ content. This made us able to enhance the power conversion efficiency (PCE) for Sn-based PSCs up to 7% in a 0.25 cm2 aperture area. Most importantly, the 5-AVAI added PSCs showed a record stability and maintained their initial PCE under 1 sun continuous illumination at maximum power point tracking for 100 h."
91,We report a clear correlation of the features observed in photocurrent noise-fluctuations to the performance parameters of hybrid perovskite solar cells. The general trend of increasing noise amplitude which spreads over a wider range of frequency as a function of aging is established. High-resolution spatial mapping of the photocurrent in typical devices and the associated variation of the noise spectrum confirms the underlying trend.
92,"The stability of a tin-based perovskite solar cell is a major challenge. Here, hybrid tin-based perovskite solar cells in a new series that incorporate a nonpolar organic cation, guanidinium (GA+), in varied proportions into the formamidinium (FA+) tin triiodide perovskite (FASnI3) crystal structure in the presence of 1% ethylenediammonium diiodide (EDAI2) as an additive, are reported. The device performance is optimized at a precursor ratio (GAI:FAI) of 20:80 to attain a power conversion efficiency (PCE) of 8.5% when prepared freshly; the efficiencies continuously increase to attain a record PCE of 9.6% after storage in a glove-box environment for 2000 h. The hybrid perovskite works stably under continuous 1 sun illumination for 1 h and storage in air for 6 days without encapsulation. Such a tin-based perovskite passes all harsh standard tests, and the efficiency of a fresh device, 8.3%, is certified. The great performance and stability of the device reported herein attains a new milestone for lead-free perovskite solar cells on a path toward commercial development."
93,"A room-temperature solution-processed pillar[5]arene-based small molecule material, termed C3, has been designed, synthesized, and incorporated between a conventional PCBM electron transport layer (ETL) and a metal electrode to function as a single-layer cathode buffer layer (CBL) for efficient planar p–i–n perovskite solar cells (PVSCs). It has been found that C3 has a work function tunneling effect, which can decrease the work function of the Ag electrode; therefore, introduction of C3 successfully enhances the interface contact and reduces the interface barriers, which usually exist between fullerene derivatives and metal electrodes. It was also found that the C3 capping layer could improve the surface quality of PCBM, forming a smooth, dense and pinhole-free morphology with fewer surface defects. Thus, C3 can modify the interface between PCBM and Ag, enhance the diode properties of devices and facilitate electron transport through the devices; therefore, it is a very promising CBL material for PVSCs. A device with a hybrid PCBM ETL and a single cathode buffer layer of C3 exhibited a high power conversion efficiency (PCE) of 17.42% with negligible hysteresis, which was dramatically higher than that of a device based on a pure PCBM ETL. With the major advantages of a low-temperature solution process and interface modification, the excellent PCE of PVSCs on flexible substrates can exceed 13%. These results demonstrate that solution-processed pillar[5]arene-based small molecule materials can serve as high performance CBLs in PVSCs."
